,상가업소번호,상호명,상권업종대분류명,상권업종소분류명,지번주소,도로명주소
0,MA0101202210A0084499,베트남쌀국수퍼짱,음식,베트남식 전문,세종특별자치시 세종특별자치시 나성동 732,세종특별자치시 세종특별자치시 한누리대로 311
1,MA010120220805431936,책통클럽읽기훈련센타,교육,그 외 기타 교육기관,세종특별자치시 세종특별자치시 새롬동 579,세종특별자치시 세종특별자치시 새롬중앙로 62-15
2,MA010120220805434190,더함인테리어컨설팅,과학·기술,인테리어 디자인업,세종특별자치시 세종특별자치시 연서면 봉암리 637-3,세종특별자치시 세종특별자치시 연서면 당산로 294
3,MA010120220805432469,모더니엘살롱,수리·개인,미용실,세종특별자치시 세종특별자치시 나성동 764,세종특별자치시 세종특별자치시 한누리대로 288
4,MA010120220805435562,카이젠교육,교육,입시·교과학원,세종특별자치시 세종특별자치시 보람동 760,세종특별자치시 세종특별자치시 남세종로 450
5,MA010120220805437826,가재세탁,수리·개인,세탁소,세종특별자치시 세종특별자치시 종촌동 679,세종특별자치시 세종특별자치시 도움3로 159
6,MA010120220805436870,세종유도관,교육,태권도/무술학원,세종특별자치시 세종특별자치시 보람동 757,세종특별자치시 세종특별자치시 남세종로 462
7,MA010120220805437034,세종마취과,보건의료,기타 의원,세종특별자치시 세종특별자치시 조치원읍 남리 119-12,세종특별자치시 세종특별자치시 조치원읍 새내1길 17
8,MA010120220805437036,위스콘신이케이어학원,교육,외국어학원,세종특별자치시 세종특별자치시 아름동 1344,세종특별자치시 세종특별자치시 달빛1로 131
9,MA010120220805439448,세종종합법률사무소,과학·기술,변호사,세종특별자치시 세종특별자치시 나성동 809,세종특별자치시 세종특별자치시 나성북로 30
10,MA010120220805438755,수유리혼밥왕,음식,백반/한정식,세종특별자치시 세종특별자치시 어진동 667,세종특별자치시 세종특별자치시 가름로 194
11,MA010120220805442296,천지연가든,음식,백반/한정식,세종특별자치시 세종특별자치시 연서면 성제리 586-14,세종특별자치시 세종특별자치시 연서면 월하천로 3
12,MA010120220805441629,엄마손김밥,음식,김밥/만두/분식,세종특별자치시 세종특별자치시 나성동 747,세종특별자치시 세종특별자치시 한누리대로 245
13,MA010120220805440526,아르드뽀에스테틱,수리·개인,피부 관리실,세종특별자치시 세종특별자치시 나성동 750,세종특별자치시 세종특별자치시 한누리대로 227
14,MA010120220805441159,목향재,숙박,여관/모텔,세종특별자치시 세종특별자치시 고운동 1754,세종특별자치시 세종특별자치시 만남로6길 33
15,MA010120220805440735,아름다운기획,과학·기술,광고물 설계/제작업,세종특별자치시 세종특별자치시 장군면 도계리 19-5,세종특별자치시 세종특별자치시 장군면 풍덕골길 21-13
16,MA010120220805444116,스튜디오에프피,과학·기술,패션/섬유/기타 전문 디자인업,세종특별자치시 세종특별자치시 어진동 671,세종특별자치시 세종특별자치시 갈매로 351
17,MA010120220805443708,머슬케어필라테스,교육,요가/필라테스 학원,세종특별자치시 세종특별자치시 나성동 788,세종특별자치시 세종특별자치시 나성북1로 12
18,MA010120220805443477,쿠헤어,수리·개인,미용실,세종특별자치시 세종특별자치시 조치원읍 정리 34-1,세종특별자치시 세종특별자치시 조치원읍 새내8길 17
19,MA010120220805442955,올진스시,음식,일식 회/초밥,세종특별자치시 세종특별자치시 어진동 539,세종특별자치시 세종특별자치시 한누리대로 411
20,MA010120220805444812,부동산땅집go공인중개사사무소,부동산,부동산 중개/대리업,세종특별자치시 세종특별자치시 조치원읍 신흥리 1-23,세종특별자치시 세종특별자치시 조치원읍 신흥샛터길 43
21,MA010120220805445264,뷰티호텔,수리·개인,피부 관리실,세종특별자치시 세종특별자치시 아름동 1318,세종특별자치시 세종특별자치시 아름서길 3
22,MA010120220805445058,딥핑크,소매,그 외 기타 종합 소매업,세종특별자치시 세종특별자치시 새롬동 584,세종특별자치시 세종특별자치시 새롬중앙로 55
23,MA010120220805447501,로엘라,음식,백반/한정식,세종특별자치시 세종특별자치시 조치원읍 원리 1-22,세종특별자치시 세종특별자치시 조치원읍 조치원7길 12
24,MA010120220805446670,다카렌터카,시설관리·임대,자동차 대여업,세종특별자치시 세종특별자치시 장군면 대교리 135-3,세종특별자치시 세종특별자치시 장군면 대교길 147
25,MA010120220805446877,세종드럼뮤직학원,교육,음악학원,세종특별자치시 세종특별자치시 조치원읍 신흥리 48-2,세종특별자치시 세종특별자치시 조치원읍 충현로 91
26,MA010120220805448536,혜성주얼리,소매,시계/귀금속 소매업,세종특별자치시 세종특별자치시 도담동 653,세종특별자치시 세종특별자치시 보듬4로 9
27,MA010120220805448766,미요가.필라테스,교육,요가/필라테스 학원,세종특별자치시 세종특별자치시 새롬동 579,세종특별자치시 세종특별자치시 새롬중앙로 62-15
28,MA010120220805452173,경진상사,수리·개인,의류/이불 수선업,세종특별자치시 세종특별자치시 어진동 520,세종특별자치시 세종특별자치시 다솜1로 9
29,MA010120220805451879,띵까띵까노래연습장,예술·스포츠,노래방,세종특별자치시 세종특별자치시 도담동 657,세종특별자치시 세종특별자치시 한누리대로 583
30,MA010120220805451092,브라운힐스커피숍,음식,카페,세종특별자치시 세종특별자치시 한솔동 933,세종특별자치시 세종특별자치시 노을3로 84
31,MA010120220805454320,서울다방,음식,카페,세종특별자치시 세종특별자치시 조치원읍 상리 136,세종특별자치시 세종특별자치시 조치원읍 장안로 3
32,MA010120220805454012,세종에어컨청소세탁기청소안심클린,수리·개인,가전제품 수리업,세종특별자치시 세종특별자치시 부강면 갈산리 226,세종특별자치시 세종특별자치시 부강면 갈산길 47-14
33,MA010120220805455535,큰맘할매순대국,음식,국/탕/찌개류,세종특별자치시 세종특별자치시 다정동 933,세종특별자치시 세종특별자치시 다정중앙로 52
34,MA010120220805454854,리아필라테스,교육,요가/필라테스 학원,세종특별자치시 세종특별자치시 보람동 755,세종특별자치시 세종특별자치시 호려울로 9
35,MA010120220805457615,인성세무회계사무소,과학·기술,공인회계사,세종특별자치시 세종특별자치시 보람동 722,세종특별자치시 세종특별자치시 한누리대로 2150
36,MA010120220805457023,세종하이엔드학원,교육,입시·교과학원,세종특별자치시 세종특별자치시 나성동 746,세종특별자치시 세종특별자치시 한누리대로 249
37,MA010120220805459636,모던제이,소매,가방 소매업,세종특별자치시 세종특별자치시 전의면 서정리 102,세종특별자치시 세종특별자치시 전의면 내서길 37
38,MA010120220805461877,캐치업세종,소매,화장품 소매업,세종특별자치시 세종특별자치시 나성동 795,세종특별자치시 세종특별자치시 나성로 125-16
39,MA010120220805461678,세종김연수피부과의원,보건의료,피부/비뇨기과 의원,세종특별자치시 세종특별자치시 새롬동 578,세종특별자치시 세종특별자치시 새롬중앙로 64
40,MA010120220805461520,세종에코아이스링크,예술·스포츠,테니스장,세종특별자치시 세종특별자치시 나성동 785,세종특별자치시 세종특별자치시 나성로 33-10
41,MA010120220805465655,지코바치킨도담,음식,치킨,세종특별자치시 세종특별자치시 도담동 633,세종특별자치시 세종특별자치시 보람로 96
42,MA010120220805465946,카란,음식,일식 회/초밥,세종특별자치시 세종특별자치시 나성동 263,세종특별자치시 세종특별자치시 중앙공원서로 10
43,MA010120220805465135,허씨네맛집,음식,백반/한정식,세종특별자치시 세종특별자치시 조치원읍 번암리 110-1,세종특별자치시 세종특별자치시 조치원읍 허만석로 35
44,MA010120220805468073,하이솔헤어,수리·개인,미용실,세종특별자치시 세종특별자치시 다정동 938,세종특별자치시 세종특별자치시 다정중앙로 40
45,MA010120220805468227,가온약국,소매,약국,세종특별자치시 세종특별자치시 다정동 945,세종특별자치시 세종특별자치시 다정중앙로 57
46,MA010120220805467335,언어의창,교육,입시·교과학원,세종특별자치시 세종특별자치시 소담동 543,세종특별자치시 세종특별자치시 한누리대로 2018
47,MA010120220805470377,부강루,음식,중국집,세종특별자치시 세종특별자치시 부강면 부강리 453-1,세종특별자치시 세종특별자치시 부강면 부강2길 30
48,MA010120220805468847,욜라에땅어린이아뜰리에,소매,서점,세종특별자치시 세종특별자치시 새롬동 585,세종특별자치시 세종특별자치시 새롬중앙로 51
